BIN	GENEID	HALFLIFE
4	ENSG00000044574	0.224040210075372
5	ENSG00000046604	1.04577673175949
2	ENSG00000046647	0.126305261439069
4	ENSG00000046651	-0.153057492257555
10	ENSG00000046653	0.826141376632444
4	ENSG00000046889	-0.19444482175416
6	ENSG00000047056	-1.13041253130915
2	ENSG00000047188	0.0745267000395309
6	ENSG00000047230	0.732182453252648
6	ENSG00000047249	0.267428599333938
2	ENSG00000047315	0.339249278637528
3	ENSG00000047346	-0.387366155496321
5	ENSG00000047365	-1.14290622179549
5	ENSG00000047410	0.0472182111787613
2	ENSG00000047457	0.810408553773322
3	ENSG00000047578	-0.509336589327621
6	ENSG00000047579	-0.163642706998052
5	ENSG00000047597	0.0705053929741195
7	ENSG00000047621	-0.180410211225725
3	ENSG00000047634	0.628751950965256
4	ENSG00000047648	0.188302919969343
6	ENSG00000047849	1.02866001005311
1	ENSG00000047932	-0.921402252335933
7	ENSG00000048028	0.2099248773437
8	ENSG00000048052	-0.677019255616751
9	ENSG00000048140	1.07970614671023
4	ENSG00000048162	-0.903576242205386
9	ENSG00000048342	0.205928205499769
2	ENSG00000048405	-1.72467324012502
3	ENSG00000048462	-0.626739369365745
6	ENSG00000048471	-0.451222416124752
8	ENSG00000048540	-0.617612757722057
1	ENSG00000048544	0.460234286502135
10	ENSG00000048649	-1.02892616706141
9	ENSG00000048707	-0.33496880333468
1	ENSG00000048740	0.799873899611172
7	ENSG00000048828	0.533795156083379
2	ENSG00000048991	0.62910958829271
9	ENSG00000049089	1.14428917881105
6	ENSG00000049130	-0.676601676963897
4	ENSG00000049167	0.360803034316175
4	ENSG00000049192	-0.430178176423618
2	ENSG00000049239	-0.0119273466968254
6	ENSG00000049245	0.549136185344308
8	ENSG00000049246	0.10718254245183
2	ENSG00000049249	-0.363193737526363
9	ENSG00000049283	-0.560859342995021
1	ENSG00000049323	0.734981257163339
5	ENSG00000049449	1.21748715105046
2	ENSG00000049540	-0.046797821411918
2	ENSG00000049541	0.869898588051731
9	ENSG00000049618	-0.988022447915347
6	ENSG00000049656	1.48413633087861
5	ENSG00000049759	-0.24311657329193
6	ENSG00000049768	-0.189459396402408
7	ENSG00000049769	-0.0355518560644826
9	ENSG00000049860	2.08271224751339
7	ENSG00000049883	-0.404577984422305
5	ENSG00000050130	-0.317623091710421
2	ENSG00000050165	0.744027554189663
5	ENSG00000050327	-0.938440655101131
9	ENSG00000050344	-0.232445120244357
5	ENSG00000050393	1.07148955718959
3	ENSG00000050405	0.127391245403259
7	ENSG00000050426	1.04265615324071
9	ENSG00000050438	0.319474228418885
2	ENSG00000050555	1.21925201360933
6	ENSG00000050628	-0.523367763684755
3	ENSG00000050730	0.0172501791703345
9	ENSG00000050748	1.10576772720401
8	ENSG00000050767	0.634152719508869
7	ENSG00000050820	-1.24738723603441
10	ENSG00000051009	-0.658414415223031
10	ENSG00000051108	-1.43527482600027
4	ENSG00000051128	0.863142731671479
6	ENSG00000051180	0.0763934096311679
6	ENSG00000051382	-0.72918850599363
6	ENSG00000051523	2.7409369377782
8	ENSG00000051596	0.866719399654444
2	ENSG00000051620	1.3344919809846
6	ENSG00000051825	0.00377745963931155
5	ENSG00000052126	-1.09956258314145
